120, Kyrgyzstan,3.6,4,4.4,4.6,5,5,5.3,5.4,5.5,5.5 m,5.6 m
141, Lao People's Democratic Republic,3.3,3.7,4.2,4.9,5.4,5.8,6.4,6.5,6.6,6.8 m,6.9 m
46, Latvia,2.5,2.6,2.7,2.5,2.4,2.2,2.1,2.1,2.1,2.0 m,2.0 m
67, Lebanon,2.6,2.7,2.7,3,3.2,4,4.3,4.5,4.6,4.8 m,5.0 m
161, Lesotho,1.3,1.5,1.6,1.8,1.9,1.9,2,2,2.1,2.1 m,2.1 m
177, Liberia,1.9,2.2,2.1,2.1,2.9,3.3,4,4.1,4.2,4.3 m,4.4 m
94, Libya,3.1,3.7,4.3,4.7,5.2,5.6,6,6.1,6.2,6.2 m,6.3 m
13, Liechtenstein,0,0,0,0,0,0,0,0,0,0.0 m,0.0 m
37, Lithuania,3.4,3.6,3.7,3.6,3.5,3.3,3.1,3,3,3.0 m,3.0 m
19, Luxembourg,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5 m,0.5 m
154, Madagascar,8.7,10,11.5,13.5,15.7,18.3,21.1,21.7,22.3,22.9 m,23.6 m
173, Malawi,6.2,7.3,9.4,10,11.3,12.9,15,15.5,15.9,16.4 m,16.8 m
62, Malaysia,13.8,15.8,18.2,20.7,23.4,25.8,28.3,28.8,29.2,29.7 m,30.2 m
104, Maldives,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3 m,0.4 m
179, Mali,6.7,7.4,8,9,10.3,11.9,14,14.4,14.9,15.3 m,15.8 m
37, Malta,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4 m,0.4 m
.., Marshall Islands,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1 m,0.1 m
156, Mauritania,1.5,1.8,2,2.3,2.7,3.1,3.6,3.7,3.8,3.9 m,4.0 m
63, Mauritius,1,1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2 m,1.2 m
74, Mexico,70.4,77.9,86.1,95.4,103.9,110.7,117.9,119.4,120.8,122.3 m,123.8 m
123, Micronesia (Federated States of),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 m,0.1 m
107, Moldova (Republic of),4,4.2,4.4,4.3,4.1,3.8,3.6,3.5,3.5,3.5 m,3.5 m
.., Monaco,0,0,0,0,0,0,0,0,0,0.0 m,0.0 m
90, Mongolia,1.7,1.9,2.2,2.3,2.4,2.5,2.7,2.8,2.8,2.8 m,2.9 m
49, Montenegro,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6 m,0.6 m
126, Morocco,19.8,22.3,24.7,26.8,28.7,30.1,31.6,32.1,32.5,33.0 m,33.5 m
180, Mozambique,12.1,13.3,13.6,16,18.3,21,24,24.6,25.2,25.8 m,26.5 m
148, Myanmar,34.5,38.5,42.1,45.3,48.5,50.2,51.9,52.4,52.8,53.3 m,53.7 m
126, Namibia,1,1.1,1.4,1.7,1.9,2,2.2,2.2,2.3,2.3 m,2.3 m
.., Nauru,0,0,0,0,0,0,0,0,0,0.0 m,0.0 m
145, Nepal,14.4,16.1,18.1,20.6,23.2,25.3,26.8,27.2,27.5,27.8 m,28.1 m
5, Netherlands,14.1,14.5,14.9,15.4,15.9,16.3,16.6,16.7,16.7,16.8 m,16.8 m
9, New Zealand,3.1,3.3,3.4,3.7,3.9,4.1,4.4,4.4,4.5,4.5 m,4.6 m
125, Nicaragua,3.3,3.7,4.1,4.7,5.1,5.5,5.8,5.9,6,6.1 m,6.2 m
188, Niger,5.8,6.7,7.8,9.2,11,13.2,15.9,16.5,17.2,17.8 m,18.5 m
152, Nigeria,73.7,83.9,95.6,108.4,122.9,139.6,159.7,164.2,168.8,173.6 m,178.5 m
1, Norway,4.1,4.1,4.2,4.4,4.5,4.6,4.9,4.9,5,5.0 m,5.1 m
52, Oman,1.2,1.5,1.8,2.2,2.2,2.5,2.8,3,3.3,3.6 m,3.9 m
147, Pakistan,80,94.8,111.1,126.7,143.8,158,173.1,176.2,179.2,182.1 m,185.1 m
60, Palau,0,0,0,0,0,0,0,0,0,0.0 m,0.0 m
113," Palestine, State of",1.5,1.8,2.1,2.6,3.2,3.6,4,4.1,4.2,4.3,4.4 m
60, Panama,2,2.2,2.5,2.8,3.1,3.4,3.7,3.7,3.8,3.9 m,3.9 m
158, Papua New Guinea,3.2,3.7,4.2,4.7,5.4,6.1,6.9,7,7.2,7.3 m,7.5 m
112, Paraguay,3.2,3.7,4.3,4.8,5.3,5.9,6.5,6.6,6.7,6.8 m,6.9 m
84, Peru,17.3,19.5,21.8,23.9,26,27.7,29.3,29.6,30,30.4 m,30.8 m
115, Philippines,47.4,54.3,61.9,69.6,77.7,85.8,93.4,95.1,96.7,98.4 m,100.1 m
36, Poland,35.6,37.3,38.1,38.5,38.4,38.2,38.2,38.2,38.2,38.2 m,38.2 m
43, Portugal,9.8,9.9,9.9,10.1,10.3,10.5,10.6,10.6,10.6,10.6 m,10.6 m
32, Qatar,0.2,0.4,0.5,0.5,0.6,0.8,1.8,1.9,2.1,2.2 m,2.3 m
52, Romania,22.4,22.9,23.4,23,22.4,22.1,21.9,21.8,21.8,21.7 m,21.6 m
50, Russian Federation,138.5,143.5,148.1,148.6,146.8,143.9,143.6,143.4,143.2,142.8 m,142.5 m
163, Rwanda,5.1,6.1,7.2,5.7,8.4,9.4,10.8,11.1,11.5,11.8 m,12.1 m
77, Saint Kitts and Nevis,0,0,0,0,0,0,0.1,0.1,0.1,0.1 m,0.1 m
89, Saint Lucia,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2 m,0.2 m
97, Saint Vincent and the Grenadines,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 m,0.1 m
105, Samoa,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2 m,0.2 m
.., San Marino,0,0,0,0,0,0,0,0,0,0.0 m,0.0 m
143, Sao Tome and Principe,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2 m,0.2 m
39, Saudi Arabia,9.8,13.3,16.2,18.6,20.1,24.7,27.3,27.8,28.3,28.8 m,29.4 m
170, Senegal,5.6,6.4,7.5,8.7,9.9,11.3,13,13.3,13.7,14.1 m,14.5 m
66, Serbia,9.1,9.4,9.7,10.4,10.3,10,9.6,9.6,9.6,9.5 48311,9.5 48311
64, Seychelles,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 m,0.1 m
181, Sierra Leone,3.2,3.6,4,3.9,4.1,5.1,5.8,5.9,6,6.1 m,6.2 m
11, Singapore,2.4,2.7,3,3.5,3.9,4.5,5.1,5.2,5.3,5.4 m,5.5 m
35, Slovakia,5,5.2,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.5 m,5.5 m
25, Slovenia,1.8,1.9,2,2,2,2,2.1,2.1,2.1,2.1 m,2.1 m
156, Solomon Islands,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6 m,0.6 m
.., Somalia,6.1,6.1,6.3,6.3,7.4,8.5,9.6,9.9,10.2,10.5 m,10.8 m
116, South Africa,29.1,33,36.8,41.4,44.8,48.2,51.5,51.9,52.4,52.8 m,53.1 m
169, South Sudan,4.7,5.4,5.8,5.4,6.7,8,9.9,10.4,10.8,11.3 m,11.7 m
